num_item,base,item,cond_target,bloque,cond_bloque,acierto,TR
72,TAZA,TAZA,0,palabra,1,1,NA
22,GATO,GATO,0,palabra,1,1,NA
42,NIDO,NIDO,0,palabra,1,1,NA
51,PAN,PAN,0,palabra,1,1,NA
55,PILA,PILA,0,palabra,1,1,NA
28,LATA,LATA,0,palabra,1,1,NA
65,ROSA,ROSA,0,palabra,1,1,NA
57,RAMA,RAMA,0,palabra,1,1,NA
57,RAMA,RAMA,1,palabra,1,1,0.591349001355
23,GOMA,GOMA,0,palabra,1,1,NA
23,GOMA,GOMA,1,palabra,1,1,0.339595708374
71,TAXI,TAXI,0,palabra,1,1,NA
56,PINO,PINO,0,palabra,1,1,NA
60,RATA,RATA,0,palabra,1,1,NA
60,RATA,RATA,1,palabra,1,1,0.46015738472
7,CAJA,CAJA,0,palabra,1,1,NA
10,CARA,CARA,0,palabra,1,1,NA
76,UVA,UVA,0,palabra,1,1,NA
14,COPA,COPA,0,palabra,1,1,NA
53,PELO,PELO,0,palabra,1,1,NA
47,ORO,ORO,0,palabra,1,1,NA
25,HUMO,HUMO,0,palabra,1,1,NA
78,VASO,VASO,0,palabra,1,1,NA
39,MESA,MESA,0,palabra,1,1,NA
39,MESA,MESA,1,palabra,1,1,0.355098660362
40,MONO,MONO,0,palabra,1,1,NA
70,TAPA,TAPA,0,palabra,1,1,NA
37,MAPA,MAPA,0,palabra,1,1,NA
45,OJO,OJO,0,palabra,1,1,NA
5,BOTA,BOTA,0,palabra,1,1,NA
63,ROCA,ROCA,0,palabra,1,1,NA
63,ROCA,ROCA,1,palabra,1,1,0.473993674137
18,DEDO,DEDO,0,palabra,1,1,NA
46,OLA,OLA,0,palabra,1,1,NA
66,SAL,SAL,0,palabra,1,1,NA
66,SAL,SAL,1,palabra,1,1,0.633534119274
12,CENA,CENA,0,palabra,1,1,NA
29,LEÑA,LEÑA,0,palabra,1,1,NA
32,LUNA,LUNA,0,palabra,1,1,NA
32,LUNA,LUNA,1,palabra,1,1,0.408225833802
13,CINE,CINE,0,palabra,1,1,NA
20,FOCA,FOCA,0,palabra,1,1,NA
20,FOCA,FOCA,1,palabra,1,1,0.421433387155
36,MANO,MANO,0,palabra,1,1,NA
35,MAGO,MAGO,0,palabra,1,1,NA
44,NUBE,NUBE,0,palabra,1,1,NA
44,NUBE,NUBE,1,palabra,1,1,0.398685839225
30,LOBO,LOBO,0,palabra,1,1,NA
43,NIÑO,NIÑO,0,palabra,1,1,NA
43,NIÑO,NIÑO,1,palabra,1,1,0.367112639192
75,UÑA,UÑA,0,palabra,1,1,NA
24,GOTA,GOTA,0,palabra,1,1,NA
1,ARO,ARO,0,palabra,1,1,NA
80,VINO,VINO,0,palabra,1,1,NA
77,VACA,VACA,0,palabra,1,1,NA
58,RAMO,RAMO,0,palabra,1,1,NA
69,SOPA,SOPA,0,palabra,1,1,NA
48,OSO,OSO,0,palabra,1,1,NA
26,LAGO,LAGO,0,palabra,1,1,NA
64,ROPA,ROPA,0,palabra,1,1,NA
64,ROPA,ROPA,1,palabra,1,1,0.467210287842
38,MAR,MAR,0,palabra,1,1,NA
74,TORO,TORO,0,palabra,1,1,NA
74,TORO,TORO,1,palabra,1,1,0.426316229255
41,MOTO,MOTO,0,palabra,1,1,NA
41,MOTO,MOTO,1,palabra,1,1,0.437901356841
21,FOTO,FOTO,0,palabra,1,1,NA
73,TELA,TELA,0,palabra,1,1,NA
33,LUPA,LUPA,0,palabra,1,1,NA
67,SAPO,SAPO,0,palabra,1,1,NA
49,PALA,PALA,0,palabra,1,1,NA
4,BOCA,BOCA,0,palabra,1,1,NA
4,BOCA,BOCA,1,palabra,1,1,0.492765234459
3,BESO,BESO,0,palabra,1,1,NA
50,PALO,PALO,0,palabra,1,1,NA
34,LUZ,LUZ,0,palabra,1,1,NA
17,DADO,DADO,0,palabra,1,1,NA
15,CUBO,CUBO,0,palabra,1,1,NA
16,CUNA,CUNA,0,palabra,1,1,NA
8,CAMA,CAMA,0,palabra,1,1,NA
31,LORO,LORO,0,palabra,1,1,NA
31,LORO,LORO,1,palabra,1,1,0.405524521526
27,LANA,LANA,0,palabra,1,1,NA
6,BOTE,BOTE,0,palabra,1,1,NA
6,BOTE,BOTE,1,palabra,1,1,0.540190775316
2,BAÑO,BAÑO,0,palabra,1,1,NA
19,FILA,FILA,0,palabra,1,1,NA
19,FILA,FILA,1,palabra,1,1,0.488976843671
9,CAPA,CAPA,0,palabra,1,1,NA
9,CAPA,CAPA,1,palabra,1,1,0.65204640277
61,RAYO,RAYO,0,palabra,1,1,NA
79,VELA,VELA,0,palabra,1,1,NA
62,REY,REY,0,palabra,1,1,NA
62,REY,REY,1,palabra,1,1,0.567038010065
11,CASA,CASA,0,palabra,1,1,NA
68,SOL,SOL,0,palabra,1,1,NA
59,RANA,RANA,0,palabra,1,1,NA
54,PEZ,PEZ,0,palabra,1,1,NA
54,PEZ,PEZ,1,palabra,1,1,1.16480052888
52,PATO,PATO,0,palabra,1,1,NA
