num_item,base,item,cond_target,bloque,cond_bloque,acierto,TR
72,TAZA,TAZA,0,falsefont,3,1,NA
36,MANO,MANO,0,falsefont,3,1,NA
4,BOCA,BOCA,0,falsefont,3,1,NA
74,TORO,TORO,0,falsefont,3,1,NA
42,NIDO,NIDO,0,falsefont,3,1,NA
63,ROCA,ROCA,0,falsefont,3,1,NA
33,LUPA,LUPA,0,falsefont,3,1,NA
62,REY,REY,0,falsefont,3,1,NA
8,CAMA,CAMA,0,falsefont,3,1,NA
23,GOMA,GOMA,0,falsefont,3,1,NA
48,OSO,OSO,0,falsefont,3,1,NA
25,HUMO,HUMO,0,falsefont,3,1,NA
25,HUMO,HUMO,1,falsefont,3,0,NA
68,SOL,SOL,0,falsefont,3,1,NA
39,MESA,MESA,0,falsefont,3,1,NA
9,CAPA,CAPA,0,falsefont,3,1,NA
77,VACA,VACA,0,falsefont,3,1,NA
17,DADO,DADO,0,falsefont,3,1,NA
17,DADO,DADO,1,falsefont,3,1,0.768877863302
31,LORO,LORO,0,falsefont,3,1,NA
41,MOTO,MOTO,0,falsefont,3,1,NA
41,MOTO,MOTO,1,falsefont,3,1,0.634767312673
35,MAGO,MAGO,0,falsefont,3,0,1.00302822678
5,BOTA,BOTA,0,falsefont,3,1,NA
22,GATO,GATO,0,falsefont,3,1,NA
46,OLA,OLA,0,falsefont,3,1,NA
3,BESO,BESO,0,falsefont,3,1,NA
20,FOCA,FOCA,0,falsefont,3,1,NA
57,RAMA,RAMA,0,falsefont,3,1,NA
57,RAMA,RAMA,1,falsefont,3,1,0.550590642728
14,COPA,COPA,0,falsefont,3,1,NA
73,TELA,TELA,0,falsefont,3,1,NA
73,TELA,TELA,1,falsefont,3,1,0.533607637743
54,PEZ,PEZ,0,falsefont,3,1,NA
54,PEZ,PEZ,1,falsefont,3,1,0.734137757448
10,CARA,CARA,0,falsefont,3,1,NA
66,SAL,SAL,0,falsefont,3,1,NA
66,SAL,SAL,1,falsefont,3,1,0.684059530497
2,BAÑO,BAÑO,0,falsefont,3,1,NA
2,BAÑO,BAÑO,1,falsefont,3,1,0.583908063709
7,CAJA,CAJA,0,falsefont,3,1,NA
51,PAN,PAN,0,falsefont,3,1,NA
52,PATO,PATO,0,falsefont,3,1,NA
64,ROPA,ROPA,0,falsefont,3,1,NA
64,ROPA,ROPA,1,falsefont,3,1,1.39977940766
28,LATA,LATA,0,falsefont,3,1,NA
44,NUBE,NUBE,0,falsefont,3,1,NA
16,CUNA,CUNA,0,falsefont,3,1,NA
67,SAPO,SAPO,0,falsefont,3,1,NA
67,SAPO,SAPO,1,falsefont,3,1,0.517498468515
27,LANA,LANA,0,falsefont,3,1,NA
19,FILA,FILA,0,falsefont,3,1,NA
15,CUBO,CUBO,0,falsefont,3,1,NA
56,PINO,PINO,0,falsefont,3,1,NA
12,CENA,CENA,0,falsefont,3,1,NA
75,UÑA,UÑA,0,falsefont,3,1,NA
6,BOTE,BOTE,0,falsefont,3,1,NA
65,ROSA,ROSA,0,falsefont,3,1,NA
13,CINE,CINE,0,falsefont,3,1,NA
49,PALA,PALA,0,falsefont,3,1,NA
11,CASA,CASA,0,falsefont,3,1,NA
45,OJO,OJO,0,falsefont,3,1,NA
38,MAR,MAR,0,falsefont,3,1,NA
38,MAR,MAR,1,falsefont,3,0,NA
79,VELA,VELA,0,falsefont,3,1,NA
79,VELA,VELA,1,falsefont,3,1,0.801875561243
30,LOBO,LOBO,0,falsefont,3,1,NA
30,LOBO,LOBO,1,falsefont,3,0,NA
26,LAGO,LAGO,0,falsefont,3,1,NA
26,LAGO,LAGO,1,falsefont,3,1,0.434621470282
37,MAPA,MAPA,0,falsefont,3,1,NA
37,MAPA,MAPA,1,falsefont,3,0,NA
71,TAXI,TAXI,0,falsefont,3,1,NA
34,LUZ,LUZ,0,falsefont,3,1,NA
34,LUZ,LUZ,1,falsefont,3,1,0.884055762668
32,LUNA,LUNA,0,falsefont,3,1,NA
55,PILA,PILA,0,falsefont,3,1,NA
55,PILA,PILA,1,falsefont,3,0,NA
21,FOTO,FOTO,0,falsefont,3,1,NA
59,RANA,RANA,0,falsefont,3,1,NA
1,ARO,ARO,0,falsefont,3,1,NA
1,ARO,ARO,1,falsefont,3,1,0.667564421892
80,VINO,VINO,0,falsefont,3,1,NA
78,VASO,VASO,0,falsefont,3,0,0.558257625322
18,DEDO,DEDO,0,falsefont,3,1,NA
47,ORO,ORO,0,falsefont,3,1,NA
53,PELO,PELO,0,falsefont,3,1,NA
53,PELO,PELO,1,falsefont,3,1,0.784867898095
24,GOTA,GOTA,0,falsefont,3,1,NA
76,UVA,UVA,0,falsefont,3,1,NA
76,UVA,UVA,1,falsefont,3,1,0.734304545447
70,TAPA,TAPA,0,falsefont,3,1,NA
69,SOPA,SOPA,0,falsefont,3,1,NA
29,LEÑA,LEÑA,0,falsefont,3,1,NA
61,RAYO,RAYO,0,falsefont,3,1,NA
43,NIÑO,NIÑO,0,falsefont,3,1,NA
40,MONO,MONO,0,falsefont,3,1,NA
50,PALO,PALO,0,falsefont,3,1,NA
58,RAMO,RAMO,0,falsefont,3,0,1.1077882502
60,RATA,RATA,0,falsefont,3,1,NA
